title;type;scimago_value;jcs_value
Nature Genetics;journal;18.86;38.33
Progress in Retinal and Eye Research;journal;7.20;21.20
Current Opinion in Cell Biology;journal;5.13;8.38
SIAM Review;journal;4.68;10.78
npj Quantum Information;journal;3.40;7.39
Nanoscale Horizons;journal;2.99;10.99
Brain Pathology;journal;1.99;6.51
Radiotherapy and Oncology;journal;1.89;6.28
Plastic and Reconstructive Surgery;journal;1.84;4.73
International Journal of Heat and Mass Transfer;journal;1.71;5.58
American Statistician;journal;1.56;8.71
International Soil and Water Conservation Research;journal;1.54;6.03
Sex Roles;journal;1.51;4.15
Critical Social Policy;journal;1.43;3.57
International Journal of Health Policy and Management;journal;1.29;5.01
Journal of Applied Meteorology and Climatology;journal;1.08;2.92
Frontiers in Psychology;journal;0.95;2.99
Proceedings of the VLDB Endowment;journal;0.95;2.05
Management and Organization Review;journal;0.90;2.37
Current Genomics;journal;0.82;2.24
International Journal of Clinical Practice;journal;0.76;2.50
Frontiers in Physics;journal;0.75;3.56
High Voltage;journal;0.73;4.71
Journal of Periodontal and Implant Science;journal;0.69;2.61
Operations Research Letters;journal;0.66;1.15
Journal of Cardiovascular Nursing;journal;0.62;2.08
Ophthalmic Genetics;journal;0.61;1.80
Journal of Veterinary Pharmacology and Therapeutics;journal;0.53;1.79
Journal of the Marine Biological Association of the United Kingdom;journal;0.50;1.39
Journal of the Textile Institute;journal;0.45;1.88
Australian Journal of Botany;journal;0.43;1.24
International Journal of Nonlinear Sciences and Numerical Simulation;journal;0.42;2.01
Journal of the Philosophy of Sport;journal;0.40;1.02
Psychologie in Erziehung und Unterricht;journal;0.36;0.53
Ophthalmologe;journal;0.29;1.06
Acta Alimentaria;journal;0.24;0.65
Indian Journal of Agricultural Sciences;journal;0.22;0.37
Tecnologia y Ciencias del Agua;journal;0.19;0.37
Annales de Biologie Clinique;journal;0.17;0.46
Independent Review;journal;0.11;0.38
Revija za Kriminalistiko in Kriminologijo;journal;0.11;0.35
Annual Review of Clinical Psychology;journal;8.26;18.56
Nature Biomedical Engineering;journal;5.96;25.67
Automatica;journal;3.13;5.94
Journal of Policy Analysis and Management;journal;2.90;4.71
World Bank Research Observer;journal;2.74;5.11
Annual Review of Chemical and Biomolecular Engineering;journal;2.72;11.06
Asterisque;book series;2.44;1.52
Carbon;journal;2.25;9.59
Molecular and Cellular Biology;journal;2.14;4.27
FASEB Journal;journal;1.71;5.19
Engineering Applications of Computational Fluid Mechanics;journal;1.35;8.39
European Journal of Industrial Relations;journal;1.25;2.55
Academic Emergency Medicine;journal;1.22;3.45
International Journal of Damage Mechanics;journal;1.15;5.03
Journal of Vision;journal;1.13;2.24
Journal of Professional Nursing;journal;0.96;2.10
Advances in Heterocyclic Chemistry;book series;0.89;3.55
Endoscopic Ultrasound;journal;0.88;5.63
Medical Anthropology Quarterly;journal;0.86;2.48
Vector-Borne and Zoonotic Diseases;journal;0.84;2.13
Journal of Meteorological Research;journal;0.82;2.18
Journal of Ophthalmology;journal;0.82;1.91
Pharmaceutical Research;journal;0.82;4.20
Experimental and Molecular Pathology;journal;0.79;3.36
European Journal of Innovation Management;journal;0.78;4.69
International Journal of Cardiovascular Imaging;journal;0.73;2.36
